file,column
genomic_determinants_345.csv,catA1
genomic_determinants_345.csv,cmlA5
genomic_determinants_345.csv,floR
genomic_determinants_345.csv,dfrA1
genomic_determinants_345.csv,dfrA12
genomic_determinants_345.csv,dfrA14
genomic_determinants_345.csv,dfrA15
genomic_determinants_345.csv,dfrA17
genomic_determinants_345.csv,dfrA23
genomic_determinants_345.csv,blaCTX-M-15
genomic_determinants_345.csv,blaCTX-M-2
genomic_determinants_345.csv,blaSHV-5
genomic_determinants_345.csv,blaTEM-131
genomic_determinants_345.csv,blaTEM-63
genomic_determinants_345.csv,qnrB
genomic_determinants_345.csv,qnrB1
genomic_determinants_345.csv,qnrB19
genomic_determinants_345.csv,qnrS1
genomic_determinants_345.csv,gyrA_D87N
genomic_determinants_345.csv,gyrA_S83F
genomic_determinants_345.csv,gyrB_S464F
genomic_determinants_345.csv,mph(A)
genomic_determinants_345.csv,mph(E)
genomic_determinants_345.csv,msr(E)
genomic_determinants_345.csv,tet(A)
genomic_determinants_345.csv,sul1
genomic_determinants_345.csv,sul2
genomic_determinants_345.csv,sul3
genomic_determinants_345.csv,aac(3)-II
genomic_determinants_345.csv,aac(3)-IId
genomic_determinants_345.csv,aac(3)-IIe
genomic_determinants_345.csv,aac(3)-VIa
genomic_determinants_345.csv,aac(6')-Ib
genomic_determinants_345.csv,aac(6')-Ib-cr
genomic_determinants_345.csv,aac(6')-Ib-cr5
genomic_determinants_345.csv,aadA1
genomic_determinants_345.csv,aadA2
genomic_determinants_345.csv,aadA5
genomic_determinants_345.csv,aph(3'')-Ib
genomic_determinants_345.csv,aph(3')-Ia
genomic_determinants_345.csv,aph(6)-Id
genomic_determinants_345.csv,armA
genomic_determinants_345.csv,blaOXA-48
genomic_determinants_345.csv,blaNDM-1
genomic_determinants_345.csv,arr-2
genomic_determinants_345.csv,arr-3
genomic_determinants_345.csv,qacE
genomic_determinants_345.csv,qacEdelta1
genomic_determinants_345.csv,ramR_T18P
genomic_determinants_345.csv,ble
invasive_cases_21_safe.csv,age_group
invasive_cases_21_safe.csv,specimen
invasive_cases_21_safe.csv,ward
invasive_cases_21_safe.csv,collection_year
isolate_accession_line_list_345.csv,isolate_id
isolate_accession_line_list_345.csv,source_isolate_id
isolate_accession_line_list_345.csv,run_accession
isolate_accession_line_list_345.csv,sample_accession
isolate_accession_line_list_345.csv,country
isolate_accession_line_list_345.csv,source_type
isolate_accession_line_list_345.csv,source_detail
isolate_accession_line_list_345.csv,invasive
isolate_accession_line_list_345.csv,year
isolate_accession_line_list_345.csv,lineage
isolate_accession_line_list_345.csv,sequence_type
isolate_accession_line_list_345.csv,clonal_complex
isolate_accession_line_list_345.csv,source_group
isolate_accession_line_list_345.csv,in_CC25_tree
isolate_accession_line_list_345.csv,in_ST335_tree
isolate_accession_line_list_345.csv,CC25_order
isolate_accession_line_list_345.csv,ST335_order
isolate_accession_line_list_345.csv,experiment_accession
isolate_accession_line_list_345.csv,accession_basis
isolate_accession_line_list_345.csv,XDR_genomic_profile
