isolate_id,run_accession,sample_accession,archive_alias,country,region,year,sequence_type,source_type,source_detail
ERR5750995,ERR5750995,ERS6282641,YA00213980,South Africa,Gauteng,2020,335,Human,"Human, Stool"
ERR5751227,ERR5751227,ERS6282873,YA00222443,South Africa,KwaZulu-Natal,2020,335,Human,"Human, Stool"
ERR5751296,ERR5751296,ERS6282942,YA00214745,South Africa,Gauteng,2020,335,Human,"Human, Rectal swab"
ERR5751304,ERR5751304,ERS6282950,YA00195036,South Africa,Limpopo,2020,335,Human,"Human, Stool"
ERR5751308,ERR5751308,ERS6282954,YA00195480,South Africa,Gauteng,2020,335,Human,"Human, Stool"
ERR5751726,ERR5751726,ERS6283372,YA00211500,South Africa,Free State,2020,335,Human,"Human, Urine"
ERR5751808,ERR5751808,ERS6283454,YA00193835,South Africa,Gauteng,2020,335,Human,"Human, Other"
ERR6752863,ERR6752863,ERS7770083,YA00194318,South Africa,Limpopo,2020,335,Human,"Human, Other"
ERR6752889,ERR6752889,ERS7770109,YA00193591,South Africa,North West,2020,335,Human,"Human, Urine"
ERR6752971,ERR6752971,ERS7770191,YA00216780,South Africa,KwaZulu-Natal,2020,335,Human,"Human, Stool"
ERR6753111,ERR6753111,ERS7770331,YA00204047,South Africa,Mpumalanga,2020,335,Human,"Human, Stool"
ERR6805990,ERR6805990,ERS7644713,YA00205599,South Africa,Mpumalanga,2020,335,Human,"Human, Rectal swab"
ERR6805998,ERR6805998,ERS7644721,YA00204944,South Africa,Gauteng,2020,335,Human,"Human, Urine"
ERR6806028,ERR6806028,ERS7644751,YA00205490,South Africa,Gauteng,2020,335,Human,"Human, Stool"
ERR6806075,ERR6806075,ERS7644798,RH01768595,South Africa,Gauteng,2021,335,Human,"Human, Urine"
ERR6806125,ERR6806125,ERS7644848,YA00206443,South Africa,Gauteng,2020,335,Human,"Human, Other"
ERR6806255,ERR6806255,ERS7644978,YA00241724,South Africa,Gauteng,2021,335,Human,"Human, Blood culture"
ERR6806317,ERR6806317,ERS7645040,YA00218445,South Africa,Gauteng,2020,335,Human,"Human, Stool"
ERR6806512,ERR6806512,ERS7645233,YA00260571,South Africa,Gauteng,2021,335,Human,"Human, Stool"
ERR6806600,ERR6806600,ERS7645321,YA00259697,South Africa,Gauteng,2021,335,Human,"Human, Urine"
ERR6806632,ERR6806632,ERS7645353,YA00250887,South Africa,Mpumalanga,2021,335,Human,"Human, Other"
ERR6806710,ERR6806710,ERS7645431,YA00203157,South Africa,Eastern Cape,2020,216,Human,Stool
ERR6806714,ERR6806714,ERS7645435,YA00202447,South Africa,Limpopo,2020,335,Human,"Human, Other"
ERR6806726,ERR6806726,ERS7645447,YA00202446,South Africa,Limpopo,2020,335,Human,"Human, Blood culture"
ERR6806749,ERR6806749,ERS7645470,YA00255344,South Africa,Gauteng,2021,335,Human,"Human, Blood culture"
ERR6806776,ERR6806776,ERS7645497,YA00264355,South Africa,Gauteng,2021,335,Human,"Human, Stool"
ERR6806789,ERR6806789,ERS7645510,YA00264356,South Africa,Gauteng,2021,335,Human,"Human, Stool"
ERR6806796,ERR6806796,ERS7645517,YA00198220,South Africa,Mpumalanga,2020,335,Human,"Human, Blood culture"
ERR6806833,ERR6806833,ERS7645554,YA00199684,South Africa,Gauteng,2020,335,Human,"Human, Urine"
ERR7197741,ERR7197741,ERS8210595,YA00257459,South Africa,Gauteng,2021,335,Human,"Human, Stool"
ERR7197757,ERR7197757,ERS8210611,YA00206737,South Africa,Gauteng,2020,335,Human,"Human, Blood culture"
ERR7197834,ERR7197834,ERS8210686,YA00266196,South Africa,Mpumalanga,2021,335,Human,"Human, Urine"
ERR9079508,ERR9079508,ERS10862599,YA00285922,South Africa,Eastern Cape,2021,335,Human,Stool
ERR9079758,ERR9079758,ERS10862849,YA00290299,South Africa,Mpumalanga,2021,335,Human,Blood culture
ERR9079768,ERR9079768,ERS10862859,YA00290253,South Africa,Eastern Cape,2021,335,Human,Stool
ERR9079830,ERR9079830,ERS10862921,YA00290488,South Africa,Limpopo,2021,335,Human,Blood culture
ERR9288082,ERR9288082,ERS11025439,YA00274336,South Africa,Gauteng,2021,335,Human,Blood culture
ERR9288143,ERR9288143,ERS11025500,YA00279474,South Africa,Limpopo,2021,335,Human,Blood culture
ERR9420153,ERR9420153,ERS11375563,YA00292562,South Africa,KwaZulu-Natal,2021,335,Human,Other
ERR9680890,ERR9680890,ERS11915228,YA00194784,South Africa,Gauteng,2020,216,Human,Stool
ERR9692774,ERR9692774,ERS11935911,YA00213828,South Africa,North West,2020,335,Human,Other
ERR9785509,ERR9785509,ERS12086357,YA00341500,South Africa,Eastern Cape,2022,335,Human,Stool
ERR9785510,ERR9785510,ERS12086358,YA00341496,South Africa,Eastern Cape,2022,335,Human,Stool
ERR9785511,ERR9785511,ERS12086359,YA00329860,South Africa,Eastern Cape,2022,335,Human,Stool
ERR9785512,ERR9785512,ERS12086360,YA00334930,South Africa,Eastern Cape,2022,335,Human,Stool
ERR9820422,ERR9820422,ERS12147978,YA00329884,South Africa,Eastern Cape,2022,335,Human,Stool
ERR9822144,ERR9822144,ERS12149061,YA00350534,South Africa,Eastern Cape,2022,335,Human,Stool
ERR9822145,ERR9822145,ERS12149062,YA00350539,South Africa,Eastern Cape,2022,335,Human,Stool
ERR9822146,ERR9822146,ERS12149063,YA00346096,South Africa,Eastern Cape,2022,335,Human,Stool
ERR9822149,ERR9822149,ERS12149066,YA00350537,South Africa,Eastern Cape,2022,335,Human,Stool
ERR9822151,ERR9822151,ERS12149068,YA00350529,South Africa,Eastern Cape,2022,335,Human,Other
