path,source,source_sha256,role,change,archive_sha256
data/data_clean/phenotype_summary_17.csv,phenotype_summary_17.csv,34cc9d6a4dbd16ee93d4d7922b2dfa869240937114039ec3bafac67924d180fc,Fixed manuscript analysis table,Verbatim,34cc9d6a4dbd16ee93d4d7922b2dfa869240937114039ec3bafac67924d180fc
data/data_clean/Kenneth_recorded_biocide_results_42.csv,Kenneth_recorded_biocide_results_42.csv,a9d8ca34217c7f0d403557adcdbb0bf56791e3267720020a0442c228d4ae878d,Fixed manuscript analysis table,Verbatim,a9d8ca34217c7f0d403557adcdbb0bf56791e3267720020a0442c228d4ae878d
data/data_clean/BSI_annual_resistance_summary_2015_2023.csv,BSI_annual_resistance_summary_2015_2023.csv,6f8165982fc5b6f2261a8214139067018bf6a271e23d01e9722f3f716821ba32,Fixed manuscript analysis table,Verbatim,6f8165982fc5b6f2261a8214139067018bf6a271e23d01e9722f3f716821ba32
data/data_clean/phenotype_isolate_index_42.csv,phenotype_isolate_index_42.csv,a8346221f947d9d9063bc34e5883f0618c8e57e2ff8b4607ca3ff2edb1abe68f,Fixed manuscript analysis table,Verbatim,a8346221f947d9d9063bc34e5883f0618c8e57e2ff8b4607ca3ff2edb1abe68f
data/data_clean/phenotype_zone_diameters_42.csv,phenotype_zone_diameters_42.csv,c43a47fa1c0266af784e2abeea6076b08875687d229b3773b6d7bbafedd5be51,Fixed manuscript analysis table,Verbatim,c43a47fa1c0266af784e2abeea6076b08875687d229b3773b6d7bbafedd5be51
data/data_clean/Malawi_matrix_cell_reconciliation.csv,Malawi_matrix_cell_reconciliation.csv,08eba2ab3ace38b8af0f15282793262f85365a3b078b2111087db27c306df857,Fixed manuscript analysis table,Verbatim,08eba2ab3ace38b8af0f15282793262f85365a3b078b2111087db27c306df857
data/data_clean/AMRFinder_annotation_audit.csv,AMRFinder_annotation_audit.csv,83938d39e6007941b106a287996bae6ea89d544d8941e8c1e515aaa4902d65b1,Fixed manuscript analysis table,Verbatim,83938d39e6007941b106a287996bae6ea89d544d8941e8c1e515aaa4902d65b1
data/data_clean/CC25_matrix_tree_reconciliation_4.csv,CC25_matrix_tree_reconciliation_4.csv,97b9bd8fbb98b3fc65020220529ed99d28ef658d438331a5c405235ff6ffa778,Fixed manuscript analysis table,Verbatim,97b9bd8fbb98b3fc65020220529ed99d28ef658d438331a5c405235ff6ffa778
data/data_clean/isolate_accession_line_list_345.csv,isolate_accession_line_list_345.csv,a0fd000021fa4ed1df4ae1d256c04fc6eaef8a221410de3878fc4f40624ce2d4,Fixed manuscript analysis table,Verbatim,a0fd000021fa4ed1df4ae1d256c04fc6eaef8a221410de3878fc4f40624ce2d4
data/data_clean/AMR_allele_label_reconciliation.csv,AMR_allele_label_reconciliation.csv,80b891b71f93b25d32658c2fd43b60c9cd31c8f096335f27ebd8abe9821c5728,Fixed manuscript analysis table,Verbatim,80b891b71f93b25d32658c2fd43b60c9cd31c8f096335f27ebd8abe9821c5728
data/data_clean/genomic_determinants_345.csv,genomic_determinants_345.csv,e1bba38d77e69ef4e4b5996250f36146cc1129a3905c1744e2edf0f387d3cda7,Fixed manuscript analysis table,Verbatim,e1bba38d77e69ef4e4b5996250f36146cc1129a3905c1744e2edf0f387d3cda7
data/data_clean/Malawi_timeline_74_month_resolution.csv,Malawi_timeline_74_month_resolution.csv,23fbe55434c985832380429d5ee1d69567aba3b867e6271306159b61f36760d9,Fixed manuscript analysis table,Verbatim,23fbe55434c985832380429d5ee1d69567aba3b867e6271306159b61f36760d9
data/data_clean/antibiotic_dictionary_17.csv,antibiotic_dictionary_17.csv,8430e49eb3dcdde2f5e481621b4b85586c8cfa28d39caeedaecc6ba423f1fa54,Fixed manuscript analysis table,Verbatim,8430e49eb3dcdde2f5e481621b4b85586c8cfa28d39caeedaecc6ba423f1fa54
data/data_clean/CC25_327_matrix_isolate_index.csv,CC25_327_matrix_isolate_index.csv,a1ed26ae9a2c3d3221335deb7f93aca6420d70da46ee7989ef34c51f485b0076,Fixed manuscript analysis table,Verbatim,a1ed26ae9a2c3d3221335deb7f93aca6420d70da46ee7989ef34c51f485b0076
